,birth_date,college,end_year,height,player id,player name,position,start_year,weight
0,19680624,Duke University,1995,6-10,abdelal01,Alaa Abdelnaby,F-C,1991,240
1,19460407,Iowa State University,1978,6-9,abdulza01,Zaid Abdul-Aziz,C-F,1969,235
2,19470416,"University of California, Los Angeles",1989,7-2,abdulka01,Kareem Abdul-Jabbar,C,1970,225
3,19690309,Louisiana State University,2001,6-1,abdulma02,Mahmoud Abdul-Rauf,G,1991,162
4,19741103,San Jose State University,2003,6-6,abdulta01,Tariq Abdul-Wahad,F,1998,223
5,19761211,University of California,2008,6-9,abdursh01,Shareef Abdur-Rahim,F,1997,225
6,19540506,Indiana University,1981,6-7,abernto01,Tom Abernethy,F,1977,220
7,19320727,Western Kentucky University,1957,6-3,ablefo01,Forest Able,G,1957,180
8,19190209,Salem International University,1948,6-3,abramjo01,John Abramovic,F,1947,195
9,19930801,,2017,6-6,abrinal01,Alex Abrines,G-F,2017,190
10,19830121,Pepperdine University,2009,6-5,ackeral01,Alex Acker,G,2006,185
11,19300904,Long Island University,1954,6-0,ackerdo01,Don Ackerman,G,1954,183
12,19621115,Oral Roberts University,1993,6-11,acresma01,Mark Acres,F-C,1988,220
13,19420111,Hillsdale College,1968,6-6,actonbu01,Bud Acton,F,1968,210
14,19901006,Baylor University,2017,6-7,acyqu01,Quincy Acy,F,2013,240
15,19540719,University of Oklahoma,1988,6-9,adamsal01,Alvan Adams,C-F,1976,210
16,19471127,Northwestern University,1977,6-6,adamsdo01,Don Adams,F,1971,210
17,19490515,Gardner-Webb University,1975,6-5,adamsge01,George Adams,F-G,1973,210
18,19840620,University of Arizona,2009,6-4,adamsha01,Hassan Adams,G,2007,220
19,19940708,"University of California, Los Angeles",2016,6-5,adamsjo01,Jordan Adams,G,2015,209
20,19630119,Boston College,1996,5-10,adamsmi01,Michael Adams,G,1986,162
21,19930720,University of Pittsburgh,2017,7-0,adamsst01,Steven Adams,C,2014,255
22,19640722,Syracuse University,1997,6-7,addisra01,Rafael Addison,F-G,1987,215
23,19460616,Loyola Marymount University,1975,6-1,adelmri01,Rick Adelman,G,1969,175
24,19860210,University of Connecticut,2015,6-7,adrieje01,Jeff Adrien,F,2011,245
25,19851015,"University of California, Los Angeles",2017,6-5,afflaar01,Arron Afflalo,G,2008,210
26,19840209,Michigan State University,2011,6-5,agerma01,Maurice Ager,G,2007,202
27,19591210,DePaul University,1994,6-6,aguirma01,Mark Aguirre,F-G,1982,232
28,19840527,Missouri State University,2012,6-2,ahearbl01,Blake Ahearn,G,2008,190
29,19590317,Brigham Young University,1995,6-4,aingeda01,Danny Ainge,G,1982,175
30,19440921,Michigan State University,1968,6-7,aitchma01,Matthew Aitch,F,1968,230
31,19880506,,2017,7-2,ajincal01,Alexis Ajinca,C,2009,248
32,19440731,Morehead State University,1969,6-10,akinhe01,Henry Akin,C-F,1967,225
33,19860210,"California State University, Fullerton",2013,5-11,akognjo01,Josh Akognon,G,2013,185
34,19880321,Florida State University,2012,7-1,alabiso01,Solomon Alabi,C,2011,251
35,19631211,Duke University,1991,6-8,alarima01,Mark Alarie,F,1987,217
36,19361008,"California State University, Fresno",1961,6-9,alcorga01,Gary Alcorn,C,1960,225
37,19910809,,2015,6-10,aldemfu01,Furkan Aldemir,F-C,2015,240
38,19881031,University of Kansas,2017,6-11,aldrico01,Cole Aldrich,C,2011,250
39,19850719,University of Texas at Austin,2017,6-11,aldrila01,LaMarcus Aldridge,F-C,2007,260
40,19590226,University of Connecticut,1985,6-11,aleksch01,Chuck Aleksinas,C,1985,260
41,19951116,University of Kansas,2016,6-8,alexacl01,Cliff Alexander,F,2016,245
